WARN [2022-04-20 08:50:04] HIGH MEMORY USAGE!!! Memory: Total: 32550220 kB, Available: 19032620 kB, Active: 10919356 kB, SwapTotal: 16383480 kB, SwapFree: 11415204 kB
WARN [2022-04-20 08:50:04] HIGH MEMORY USAGE!!! Memory: Total: 32550220 kB, Available: 19031816 kB, Active: 10919356 kB, SwapTotal: 16383480 kB, SwapFree: 11415204 kB
WARN [2022-04-20 08:50:04] HIGH MEMORY USAGE!!! Memory: Total: 32550220 kB, Available: 19032520 kB, Active: 10919356 kB, SwapTotal: 16383480 kB, SwapFree: 11415204 kB
WARN [2022-04-20 08:50:04] HIGH MEMORY USAGE!!! Memory: Total: 32550220 kB, Available: 19032140 kB, Active: 10919356 kB, SwapTotal: 16383480 kB, SwapFree: 11415204 kB
WARN [2022-04-20 08:50:04] HIGH MEMORY USAGE!!! Memory: Total: 32550220 kB, Available: 19032392 kB, Active: 10919356 kB, SwapTotal: 16383480 kB, SwapFree: 11415204 kB
WARN [2022-04-20 08:50:04] HIGH MEMORY USAGE!!! Memory: Total: 32550220 kB, Available: 19021216 kB, Active: 10919380 kB, SwapTotal: 16383480 kB, SwapFree: 11415204 kB
WARN [2022-04-20 08:50:04] HIGH MEMORY USAGE!!! Memory: Total: 32550220 kB, Available: 19021044 kB, Active: 10919388 kB, SwapTotal: 16383480 kB, SwapFree: 11415204 kB
WARN [2022-04-20 08:50:04] HIGH MEMORY USAGE!!! Memory: Total: 32550220 kB, Available: 19021024 kB, Active: 10919392 kB, SwapTotal: 16383480 kB, SwapFree: 11415204 kB
WARN [2022-04-20 08:50:04] HIGH MEMORY USAGE!!! Memory: Total: 32550220 kB, Available: 19021024 kB, Active: 10919392 kB, SwapTotal: 16383480 kB, SwapFree: 11415204 kB
WARN [2022-04-20 08:50:04] HIGH MEMORY USAGE!!! Memory: Total: 32550220 kB, Available: 19021024 kB, Active: 10919392 kB, SwapTotal: 16383480 kB, SwapFree: 11415204 kB
WARN [2022-04-20 08:50:04] HIGH MEMORY USAGE!!! Memory: Total: 32550220 kB, Available: 19021024 kB, Active: 10919392 kB, SwapTotal: 16383480 kB, SwapFree: 11415204 kB
WARN [2022-04-20 08:50:04] HIGH MEMORY USAGE!!! Memory: Total: 32550220 kB, Available: 19020780 kB, Active: 10919384 kB, SwapTotal: 16383480 kB, SwapFree: 11415204 kB
WARN [2022-04-20 08:50:04] HIGH MEMORY USAGE!!! Memory: Total: 32550220 kB, Available: 19018764 kB, Active: 10919384 kB, SwapTotal: 16383480 kB, SwapFree: 11415204 kB
WARN [2022-04-20 08:50:04] HIGH MEMORY USAGE!!! Memory: Total: 32550220 kB, Available: 19018764 kB, Active: 10919384 kB, SwapTotal: 16383480 kB, SwapFree: 11415204 kB
WARN [2022-04-20 08:50:04] HIGH MEMORY USAGE!!! Memory: Total: 32550220 kB, Available: 19013724 kB, Active: 10919384 kB, SwapTotal: 16383480 kB, SwapFree: 11415204 kB
WARN [2022-04-20 08:50:04] HIGH MEMORY USAGE!!! Memory: Total: 32550220 kB, Available: 19008180 kB, Active: 10919384 kB, SwapTotal: 16383480 kB, SwapFree: 11415204 kB
WARN [2022-04-20 08:50:04] HIGH MEMORY USAGE!!! Memory: Total: 32550220 kB, Available: 19002636 kB, Active: 10919384 kB, SwapTotal: 16383480 kB, SwapFree: 11415204 kB
WARN [2022-04-20 08:50:04] HIGH MEMORY USAGE!!! Memory: Total: 32550220 kB, Available: 19000116 kB, Active: 10919384 kB, SwapTotal: 16383480 kB, SwapFree: 11415204 kB
WARN [2022-04-20 08:50:04] HIGH MEMORY USAGE!!! Memory: Total: 32550220 kB, Available: 19000328 kB, Active: 10919376 kB, SwapTotal: 16383480 kB, SwapFree: 11415204 kB
WARN [2022-04-20 08:50:04] HIGH MEMORY USAGE!!! Memory: Total: 32550220 kB, Available: 19000500 kB, Active: 10919376 kB, SwapTotal: 16383480 kB, SwapFree: 11415204 kB
WARN [2022-04-20 08:50:04] HIGH MEMORY USAGE!!! Memory: Total: 32550220 kB, Available: 19000500 kB, Active: 10919376 kB, SwapTotal: 16383480 kB, SwapFree: 11415204 kB
WARN [2022-04-20 08:50:04] HIGH MEMORY USAGE!!! Memory: Total: 32550220 kB, Available: 19000500 kB, Active: 10919376 kB, SwapTotal: 16383480 kB, SwapFree: 11415204 kB
WARN [2022-04-20 08:50:04] HIGH MEMORY USAGE!!! Memory: Total: 32550220 kB, Available: 19000500 kB, Active: 10919376 kB, SwapTotal: 16383480 kB, SwapFree: 11415204 kB
