WARN [2022-04-20 10:28:18] HIGH MEMORY USAGE!!! Memory: Total: 32550220 kB, Available: 18765468 kB, Active: 10943968 kB, SwapTotal: 16383480 kB, SwapFree: 11415204 kB
WARN [2022-04-20 10:28:18] HIGH MEMORY USAGE!!! Memory: Total: 32550220 kB, Available: 18762944 kB, Active: 10944060 kB, SwapTotal: 16383480 kB, SwapFree: 11415204 kB
WARN [2022-04-20 10:28:18] HIGH MEMORY USAGE!!! Memory: Total: 32550220 kB, Available: 18750108 kB, Active: 10944060 kB, SwapTotal: 16383480 kB, SwapFree: 11415204 kB
WARN [2022-04-20 10:28:18] HIGH MEMORY USAGE!!! Memory: Total: 32550220 kB, Available: 18740100 kB, Active: 10944060 kB, SwapTotal: 16383480 kB, SwapFree: 11415204 kB
WARN [2022-04-20 10:28:18] HIGH MEMORY USAGE!!! Memory: Total: 32550220 kB, Available: 18735788 kB, Active: 10944060 kB, SwapTotal: 16383480 kB, SwapFree: 11415204 kB
WARN [2022-04-20 10:28:18] HIGH MEMORY USAGE!!! Memory: Total: 32550220 kB, Available: 18733268 kB, Active: 10944060 kB, SwapTotal: 16383480 kB, SwapFree: 11415204 kB
WARN [2022-04-20 10:28:18] HIGH MEMORY USAGE!!! Memory: Total: 32550220 kB, Available: 18730748 kB, Active: 10944060 kB, SwapTotal: 16383480 kB, SwapFree: 11415204 kB
WARN [2022-04-20 10:28:18] HIGH MEMORY USAGE!!! Memory: Total: 32550220 kB, Available: 18728480 kB, Active: 10944060 kB, SwapTotal: 16383480 kB, SwapFree: 11415204 kB
WARN [2022-04-20 10:28:18] HIGH MEMORY USAGE!!! Memory: Total: 32550220 kB, Available: 18726212 kB, Active: 10944060 kB, SwapTotal: 16383480 kB, SwapFree: 11415204 kB
WARN [2022-04-20 10:28:18] HIGH MEMORY USAGE!!! Memory: Total: 32550220 kB, Available: 18723692 kB, Active: 10944060 kB, SwapTotal: 16383480 kB, SwapFree: 11415204 kB
WARN [2022-04-20 10:28:18] HIGH MEMORY USAGE!!! Memory: Total: 32550220 kB, Available: 18721172 kB, Active: 10944060 kB, SwapTotal: 16383480 kB, SwapFree: 11415204 kB
WARN [2022-04-20 10:28:18] HIGH MEMORY USAGE!!! Memory: Total: 32550220 kB, Available: 18718660 kB, Active: 10944052 kB, SwapTotal: 16383480 kB, SwapFree: 11415204 kB
WARN [2022-04-20 10:28:18] HIGH MEMORY USAGE!!! Memory: Total: 32550220 kB, Available: 18717400 kB, Active: 10944052 kB, SwapTotal: 16383480 kB, SwapFree: 11415204 kB
WARN [2022-04-20 10:28:18] HIGH MEMORY USAGE!!! Memory: Total: 32550220 kB, Available: 18713620 kB, Active: 10944052 kB, SwapTotal: 16383480 kB, SwapFree: 11415204 kB
WARN [2022-04-20 10:28:18] HIGH MEMORY USAGE!!! Memory: Total: 32550220 kB, Available: 18708076 kB, Active: 10944052 kB, SwapTotal: 16383480 kB, SwapFree: 11415204 kB
WARN [2022-04-20 10:28:18] HIGH MEMORY USAGE!!! Memory: Total: 32550220 kB, Available: 18703036 kB, Active: 10944052 kB, SwapTotal: 16383480 kB, SwapFree: 11415204 kB
WARN [2022-04-20 10:28:18] HIGH MEMORY USAGE!!! Memory: Total: 32550220 kB, Available: 18697240 kB, Active: 10944052 kB, SwapTotal: 16383480 kB, SwapFree: 11415204 kB
WARN [2022-04-20 10:28:18] HIGH MEMORY USAGE!!! Memory: Total: 32550220 kB, Available: 18691948 kB, Active: 10944052 kB, SwapTotal: 16383480 kB, SwapFree: 11415204 kB
WARN [2022-04-20 10:28:18] HIGH MEMORY USAGE!!! Memory: Total: 32550220 kB, Available: 18687412 kB, Active: 10944052 kB, SwapTotal: 16383480 kB, SwapFree: 11415204 kB
